DEFINITION_NAME	[FILL] is/is when	ACTION1	[FILL] the/a	QUANTIFIER	ADJ	AGENT/OBJECT	SCOPE1	QUANITIFIER	ACTION2	OBJECT/PROPERTY	WHEN/WHERE	[FILL] by/through/due to (mechanism)	HOW	[FILL] for/to	FOR/PURPOSE	[FILL] by/through	BY/THROUGH/HOW	SCOPE2	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
longshore drift	is when					long shore currents 			transport	sediments	parallel to the shore								MOVE TO TRANSFER	SW 7b72-d609-9333-e3b2	d9ff-0403-a360-5658	
deposition	is when					wind; moving water			deposits	sediments									REPLACED IN TRANSFER	SW e1fb-b791-3945-02db	6437-cf60-1644-dcf9	
						wildfire		sometimes	removes	the nutrients	in soil								MOVE TO CHANGE VEC	SW 321d-bc49-4014-3793	fa70-c090-9a1c-d526	
secondary succession	is when					plants			grow		after the destruction of the ecosystem										954e-21da-63bd-0dec	
						dunes	along the coast	often	are destroyed by	strong hurricane											349b-f7b1-df39-3295	
erosion	is when					wind; moving water			transports	sediments	from one place to other place								MOVE TO TRANSFER	SW 86b7-c266-fd6c-3286	4bf3-ee38-89b1-156f	
conserving an energy source	is when					human  			using	vehicles								that do not require that energy source			135e-767b-6a87-4197	
aquifer recharge	is when		the			removed groundwater			is replaced	by natural process											4c86-fe8e-bddc-985d	
						aquifer			recharges	slowly											378b-d187-97c2-c3aa	
thunderstorm; hurricane formation	is when					air			moves 	to the center of the storm								and rises into the atmosphere			22da-2a8a-8baa-1259	
				some of the		rain			are absorbed	by surface sediments									AFFORDANCE	SW 61d7-3524-783b-5fee	777f-2bb6-3890-189b	
volcanic eruption	is when					volcanoes			deposits	lava									MOVE TO TRANSFER	SW 8440-9ae2-417f-3c9d	d4a7-9d20-2cba-1d42	
						tectonic plates			meets	at their boundaries											849e-ad80-f6e8-3b29	
			an			edge of a mineral			is dragged	across a tile				to	identify the streak of the mineral				REFACTORED	SW c275-7629-09d4-66e3 1e78-ceed-2d2f-4125 5644-55f2-abcf-e965 c334-3e9a-cb63-b032	56e9-36a8-ac3d-4df9	
						abrasion			smooths; rounds	the rocks									MOVE TO CHANGE-VEC table	SW cfd7-7ab4-8396-4d7a	81aa-b05f-7a46-d120	
						destructive forces			create	land forms									MOVE TO FORMEDBY	SW 819f-f64d-72c0-1ecc	6d3a-18a6-b7c4-c51a	
			a			process			involves	actions									MOVE TO MADE OF	SW 850f-2221-d5ef-26e5	40aa-b36b-c358-dc03	
the Law of Superposition	is		the		lowest	layers			contain 	the oldest rocks	in undisturbed layers of sedimentary rocks								need help		d0fe-0d9f-05c2-f2cf	
					active	volcanoes			erupt												ac53-6ded-643e-16f8	
radiometric dating	is when		the			radioactive isotope content	of a rock		is used					to	identify the age of the rock				MOVE TO USEDFOR table	SW d01d-88be-f7ad-9186 9b7a-8a6f-be42-d305	c3cb-f5d2-756d-066d	
the full moon	is when		the			Earth			is	in between	the sun and the moon										f5d1-54ee-c653-9285	
						spacesuit			protects	astronauts								from intense sunlight			2838-7453-ea4f-807a	
						water pollution			destroys	the habitats								of aquatic animals; of amphibians			ff41-5c35-dfa9-3308	
litter	is when					people			throw away	wastes	on the ground; into a body of water										fe88-a72e-86fb-61f0	
recreational hunting	is when					human			sells	the animal they hunt				as	pets					DEP	4c7b-efc0-1f5a-cbdd	
						support cables			exert	forces	on the bridge	through	the cables	to	pull it upwards						e78f-9f5f-6462-9e90	
			the			gravity	of the bridge		exert	forces		through	the support cables	to	pull it downwards						75a0-58f0-1937-be4c	
						wetlands			absorb	flood water											8a01-c359-b776-7a2d	
						Phobos			orbits	Mars									move to PROP-ORBIT-ROT		43dd-df8a-c133-a741	
			a			desert environment			receives	low rainfall											4e09-67f5-ba75-19ea	
